group_key,path,size,mtime,experiment
403b376f5251aebfef6c4f7e435734ec,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0037.param,176260941,1669918501,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
d3f41221118b688fda496df69e78c3f6,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0016.param,176260941,1595358261,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
d3f41221118b688fda496df69e78c3f6,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0016.param,176260941,1669918485,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
0fd61f72065e0f93ae563abab2b1a216,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0009.param,176260941,1595358249,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
0fd61f72065e0f93ae563abab2b1a216,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0009.param,176260941,1669918479,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
9d7db957eb5c60e9af12a3809e4fff2e,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0004.param,176260941,1595358240,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
9d7db957eb5c60e9af12a3809e4fff2e,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0004.param,176260941,1669918474,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
e5d1f0889010a605269ab1196c22b9bd,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0023.param,176260941,1595358273,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
e5d1f0889010a605269ab1196c22b9bd,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0023.param,176260941,1669918491,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
f6c88a897114e29ba31bdd4b397edb9a,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0036.param,176260941,1595358297,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
f6c88a897114e29ba31bdd4b397edb9a,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0036.param,176260941,1669918500,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
a1598de98c752aa9a366c105b62bf032,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0017.param,176260941,1595358263,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
a1598de98c752aa9a366c105b62bf032,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0017.param,176260941,1669918486,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
e0297fa0c9b589cb6ff0c77bdfd08e6b,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0005.param,176260941,1595358242,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
e0297fa0c9b589cb6ff0c77bdfd08e6b,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0005.param,176260941,1669918475,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
e04ccba9a2ea5f38ce1bbcaa223bfb90,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0022.param,176260941,1595358271,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
e04ccba9a2ea5f38ce1bbcaa223bfb90,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0022.param,176260941,1669918490,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
18ecdb2855dd9f91c905ba386fbb03f8,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0025.param,176260941,1595358277,/mnt/12tb-hdd-B/zhiang/zhiang_deep_learning/mask_rcnn_pytorch/trained_param_eureka_aug_mult
18ecdb2855dd9f91c905ba386fbb03f8,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult/epoch_0025.param,176260941,1669918492,/mnt/12tb-hdd-B/dreamslab-hdd-bkup/sarah/Zhiang_mask_rcnn/mask_rcnn_pytorch/trained_param_eureka_aug_mult
